SELECTED_MARKER_SIZE	REF_MARKER_SIZE	SELECTED_MARKER_NAME	REF_MARKER_NAME
2306	2197	35_prunedtree.nwk	VOG00462.nwk
691	724	63_prunedtree.nwk	VOG00885.nwk
1685	1985	40_prunedtree.nwk	VOG01027.nwk
1289	1304	62_prunedtree.nwk	VOG03197.nwk
910	899	15_prunedtree.nwk	VOG00688.nwk
1048	1014	133_prunedtree.nwk	VOG00110.nwk
1328	1345	56_prunedtree.nwk	VOG01018.nwk
568	589	57_prunedtree.nwk	VOG02317.nwk
3701	5053	24_prunedtree.nwk	VOG12699.nwk
1328	1330	59_prunedtree.nwk	VOG03743.nwk
910	966	36_prunedtree.nwk	VOG00100.nwk
910	903	16_prunedtree.nwk	VOG01550.nwk
791	749	65_prunedtree.nwk	VOG00667.nwk
691	720	69_prunedtree.nwk	VOG03385.nwk
1289	1270	89_prunedtree.nwk	VOG00061.nwk
1289	1324	70_prunedtree.nwk	VOG00671.nwk
1048	986	119_prunedtree.nwk	VOG02305.nwk
568	592	48_prunedtree.nwk	VOG03134.nwk
910	1080	19_prunedtree.nwk	VOG03444.nwk
910	959	14_prunedtree.nwk	VOG00574.nwk
672	722	66_prunedtree.nwk	VOG00206.nwk
910	908	12_prunedtree.nwk	VOG01124.nwk
398	396	159_prunedtree.nwk	VOG18677.nwk
500	498	158_prunedtree.nwk	VOG01126.nwk
672	725	51_prunedtree.nwk	VOG12984.nwk
807	853	263_prunedtree.nwk	VOG03123.nwk
1395	1246	38_prunedtree.nwk	VOG00402.nwk
672	683	50_prunedtree.nwk	VOG00629.nwk
910	1007	10_prunedtree.nwk	VOG01286.nwk
807	778	152_prunedtree.nwk	VOG00239.nwk
1404	1782	42_prunedtree.nwk	VOG01872.nwk
910	1113	23_prunedtree.nwk	VOG01137.nwk
356	356	194_prunedtree.nwk	VOG00413.nwk
1395	1174	47_prunedtree.nwk	VOG00349.nwk
562	672	111_prunedtree.nwk	VOG21972.nwk
807	739	54_prunedtree.nwk	VOG00799.nwk
562	590	142_prunedtree.nwk	VOG17540.nwk
1395	1672	46_prunedtree.nwk	VOG01068.nwk
1395	1591	27_prunedtree.nwk	VOG00148.nwk
807	696	169_prunedtree.nwk	VOG00439.nwk
807	802	141_prunedtree.nwk	VOG00363.nwk
471	472	252_prunedtree.nwk	VOG20138.nwk
3089	2720	26_prunedtree.nwk	VOG00024.nwk
500	492	371_prunedtree.nwk	VOG01065.nwk
1395	1476	32_prunedtree.nwk	VOG00813.nwk
807	692	67_prunedtree.nwk	VOG00977.nwk
910	1028	37_prunedtree.nwk	VOG02621.nwk
2306	2215	49_prunedtree.nwk	VOG00022.nwk
1395	1531	45_prunedtree.nwk	VOG00143.nwk
2306	1717	34_prunedtree.nwk	VOG00180.nwk
2306	2376	29_prunedtree.nwk	VOG01103.nwk
910	1373	31_prunedtree.nwk	VOG00154.nwk
910	1209	11_prunedtree.nwk	VOG01666.nwk
910	1126	17_prunedtree.nwk	VOG00053.nwk
807	1216	61_prunedtree.nwk	VOG18218.nwk
807	762	75_prunedtree.nwk	VOG00318.nwk
807	779	102_prunedtree.nwk	VOG00052.nwk
807	912	55_prunedtree.nwk	VOG03229.nwk
807	1011	140_prunedtree.nwk	VOG00091.nwk
807	1199	238_prunedtree.nwk	VOG00246.nwk
3701	3685	25_prunedtree.nwk	VOG00108.nwk
477	488	123_prunedtree.nwk	VOG01564.nwk
562	754	91_prunedtree.nwk	VOG00478.nwk
539	789	96_prunedtree.nwk	VOG00450.nwk
304	297	325_prunedtree.nwk	VOG09266.nwk
539	971	71_prunedtree.nwk	VOG00524.nwk
537	862	137_prunedtree.nwk	VOG00917.nwk
500	492	172_prunedtree.nwk	VOG01638.nwk
2306	1438	39_prunedtree.nwk	VOG00254.nwk
2306	1804	30_prunedtree.nwk	VOG00687.nwk
537	1401	85_prunedtree.nwk	VOG00122.nwk
537	1133	136_prunedtree.nwk	VOG00123.nwk
537	1166	115_prunedtree.nwk	VOG00269.nwk
537	1058	156_prunedtree.nwk	VOG00282.nwk
2306	2154	28_prunedtree.nwk	VOG00057.nwk
2306	2127	41_prunedtree.nwk	VOG00094.nwk
537	1799	120_prunedtree.nwk	VOG00080.nwk
